date,home_team,score,away_team
21-05-2023,Los Angeles FC,2 - 1,San Jose Earthquakes
08-06-2023,Los Angeles FC,0 - 0,Atlanta United FC
11-06-2023,Houston Dynamo,4 - 0,Los Angeles FC
15-06-2023,Los Angeles FC,0 - 1,Houston Dynamo
18-06-2023,Sporting Kansas City,1 - 2,Los Angeles FC
22-06-2023,Los Angeles FC,1 - 0,Seattle Sounders FC
25-06-2023,Los Angeles FC,2 - 3,Vancouver Whitecaps
02-07-2023,FC Dallas,2 - 0,Los Angeles FC
02-07-2023,FC Dallas,? - ?,Los Angeles FC
26-02-2023,FC Dallas,0 - 1,Minnesota Utd
12-03-2023,Minnesota Utd,1 - 1,New York Red Bulls
19-03-2023,Colorado Rapids,1 - 2,Minnesota Utd
26-03-2023,Minnesota Utd,1 - 1,Vancouver Whitecaps
02-04-2023,St. Louis City,0 - 1,Minnesota Utd
09-04-2023,Chicago Fire,2 - 1,Minnesota Utd
16-04-2023,Minnesota Utd,1 - 2,Orlando City SC
23-04-2023,Seattle Sounders FC,1 - 0,Minnesota Utd
01-05-2023,Minnesota Utd,0 - 0,FC Dallas
07-05-2023,Vancouver Whitecaps,3 - 2,Minnesota Utd
14-05-2023,Sporting Kansas City,3 - 0,Minnesota Utd
18-05-2023,Minnesota Utd,1 - 0,Houston Dynamo
21-05-2023,Portland Timbers,0 - 1,Minnesota Utd
28-05-2023,Minnesota Utd,1 - 1,Real Salt Lake
01-06-2023,Austin,2 - 1,Minnesota Utd
04-06-2023,Minnesota Utd,1 - 1,Toronto FC
10-06-2023,Montreal Impact,4 - 0,Minnesota Utd
25-06-2023,Real Salt Lake,2 - 2,Minnesota Utd
02-07-2023,Minnesota Utd,4 - 1,Portland Timbers
02-07-2023,Minnesota Utd,? - ?,Portland Timbers
26-02-2023,Club Internacional de Fútbol Miami,2 - 0,Montreal Impact
05-03-2023,Austin,1 - 0,Montreal Impact
12-03-2023,Nashville SC (MLS),2 - 0,Montreal Impact
18-03-2023,Montreal Impact,3 - 2,Philadelphia Union
02-04-2023,Vancouver Whitecaps,5 - 0,Montreal Impact
08-04-2023,New England Revolution,4 - 0,Montreal Impact
15-04-2023,Montreal Impact,0 - 1,DC United
22-04-2023,Montreal Impact,2 - 0,New York Red Bulls
30-04-2023,Sporting Kansas City,0 - 2,Montreal Impact
06-05-2023,Montreal Impact,2 - 0,Orlando City SC
13-05-2023,Montreal Impact,2 - 0,Toronto FC
17-05-2023,FC Cincinnati,3 - 0,Montreal Impact
20-05-2023,New York Red Bulls,2 - 1,Montreal Impact
27-05-2023,Montreal Impact,1 - 0,Club Internacional de Fútbol Miami
31-05-2023,DC United,2 - 2,Montreal Impact
03-06-2023,Philadelphia Union,3 - 0,Montreal Impact
